Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
Save,Save
"Save & New","Save & New"
"Save & Close","Save & Close"
ID,ID
"Bidder Name","Bidder Name"
"Bid Amount","Bid Amount"
"Bid Date & Time","Bid Date & Time"
"Bid Information","Bid Information"
Email,Email
"Watchlist Information","Watchlist Information"
"Add New Auction","Add New Auction"
"Record deleted","Record deleted"
"Record does not exist","Record does not exist"
"Edit Auction","Edit Auction"
"Manage Auction","Manage Auction"
"A total of %1 Records have been deleted.","A total of %1 Records have been deleted."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"This product is already in other Auction.","This product is already in other Auction."
"Please Enter valid SKU.","Please Enter valid SKU."
"You have to choose the product first.","You have to choose the product first."
"Auction saved successfully.","Auction saved successfully."
"Something went wrong while saving the data.","Something went wrong while saving the data."
"Please enter end date-time greater then start date-time.","Please enter end date-time greater then start date-time."
"Please <a href=""%1"">login</a> / <a href=""%2"">register</a> before place bid.","Please <a href=""%1"">login</a> / <a href=""%2"">register</a> before place bid."
"You're not allowed to place bid in this auction.","You're not allowed to place bid in this auction."
"You're not allowed for the auction,Please contact to our support team.","You're not allowed for the auction,Please contact to our support team."
"You're the Highest Bidder.","You're the Highest Bidder."
"Please enter "" . . . "" or more.","Please enter "" . . . "" or more."
"""Please enter between "" . . . "" - "" . .","""Please enter between "" . . . "" - "" . ."
"Auction finish on this product","Auction finish on this product"
"Your Bid is successful.","Your Bid is successful."
". ' - Bid Details'",". ' - Bid Details'"
"My Bids Information","My Bids Information"
"My Watch List","My Watch List"
"Product is removed from watchlist successfully..","Product is removed from watchlist successfully.."
"Product is added to watchlist successfully..","Product is added to watchlist successfully.."
Edit,Edit
"Auction start at ","Auction start at "
"Time left:","Time left:"
"Close Time:","Close Time:"
"Current Bid:","Current Bid:"
"Not Available","Not Available"
"Start Price:","Start Price:"
"My Bid:","My Bid:"
"Not  Available","Not  Available"
"Remove From WatchList","Remove From WatchList"
"Add To WatchList","Add To WatchList"
Bid,Bid
"Your bid must be equal or greater than ","Your bid must be equal or greater than "
"Please <a href="" . . "">login</a> / <a href="" . . ""'>register</a> before place bid.","Please <a href="" . . "">login</a> / <a href="" . . ""'>register</a> before place bid."
"Congratulation !! you are the winner of the auction.","Congratulation !! you are the winner of the auction."
" is a winner of this auction."," is a winner of this auction."
"Auction of this product is now ended. Winner will be declared soon.","Auction of this product is now ended. Winner will be declared soon."
"The closing price is lower than the reserve price, so there is no winner.","The closing price is lower than the reserve price, so there is no winner."
BID,BID
"View Winner","View Winner"
"Total Bid : ","Total Bid : "
"Current Bid : ","Current Bid : "
"My Bid : ","My Bid : "
"You have not placed any bid.","You have not placed any bid."
TITLE,TITLE
STATUS,STATUS
"YOUR LAST BID","YOUR LAST BID"
"CURRENT BID","CURRENT BID"
"AUCTION END DATE","AUCTION END DATE"
"MY BID","MY BID"
LOST,LOST
"WON (Check out)","WON (Check out)"
"ON GOING (Bid now)","ON GOING (Bid now)"
"TOTAL BID","TOTAL BID"
"START TIME","START TIME"
"END TIME","END TIME"
"STARTING PRICE","STARTING PRICE"
"LAST BID","LAST BID"
Continue,Continue
"Not Started","Not Started"
Complete,Complete
"You have not added any auction in watchlist yet.","You have not added any auction in watchlist yet."
"You are auction winner at : %store_name order","You are auction winner at : %store_name order"
"Your bid Successful!","Your bid Successful!"
"Raise your bid","Raise your bid"
Catalog,Catalog
"Emipro Auction","Emipro Auction"
Emipro,Emipro
Auction,Auction
Pusher,Pusher
app_id,app_id
key,key
secret,secret
cluster,cluster
"Email Template","Email Template"
"Auction Winner Email Template","Auction Winner Email Template"
"Bid Successful Email Template","Bid Successful Email Template"
"Raise Bid Email Template","Raise Bid Email Template"
"Auction Information","Auction Information"
"Auction Product","Auction Product"
"* Type product name or sku. If product is already assigned to other auction then product will not display in search list.","* Type product name or sku. If product is already assigned to other auction then product will not display in search list."
"Auction Title","Auction Title"
"Minimum Bid Price","Minimum Bid Price"
"* Auction will start from this price.","* Auction will start from this price."
"Reserve Price","Reserve Price"
"* If the Closing Price is lower than the Reserve Price, then there will not be any auction winner.","* If the Closing Price is lower than the Reserve Price, then there will not be any auction winner."
"Auction Start Date and Time","Auction Start Date and Time"
"Auction End Date and Time","Auction End Date and Time"
"Minimum Price Gap","Minimum Price Gap"
"* Minimum price difference between two bids.","* Minimum price difference between two bids."
"Maximum Price Gap","Maximum Price Gap"
"* Maximum price difference between two bids.","* Maximum price difference between two bids."
"Auto Extend Time Enable/Disable","Auto Extend Time Enable/Disable"
"* If in last X seconds bidder will place the bid, then auction close time will be increased Y seconds.","* If in last X seconds bidder will place the bid, then auction close time will be increased Y seconds."
"Time before auction end(second)(X)","Time before auction end(second)(X)"
"Time to extend auction end(second)(Y)","Time to extend auction end(second)(Y)"
"Customer Group","Customer Group"
"Select Product","Select Product"
"Add New","Add New"
"Store View","Store View"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"Change status","Change status"
"Update items status","Update items status"
"Are you sure you wan't to update selected items status?","Are you sure you wan't to update selected items status?"
"Product Sku","Product Sku"
"Winner Customer","Winner Customer"
"Auction Start Date","Auction Start Date"
"Auction End Date","Auction End Date"
"Auto-Extend Time","Auto-Extend Time"
"Last Bid","Last Bid"
"Total Bid","Total Bid"
Status,Status
"My Bids","My Bids"
"Auction WatchList","Auction WatchList"
